participant_id,age,gender,employment_status,city_tier,monthly_income,FL1,FL2,FL3,FL4,FL5,IB1,IB2,IB3,IB4,IB5,SS1,SS2,SS3,SS4,SD1,SD2,SD3,SD4,SD5,BH1,BH2,BH3,BH4,essential_expenses,discretionary_expenses,monthly_savings,debt_payment,total_expenses,savings_rate,expense_to_income_ratio,financial_literacy_score,impulse_buying_score,stress_spending_score,saving_discipline_score,budgeting_habit_score
FB0011,21,Male,Freelancer,Tier 1,120000.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,,3.0,4.0,5.0,4.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,5.0,5.0,59807.0,24304.0,9935.0,7545.0,91656.0,0.083,0.764,3.6,3.5,4.0,2.4,5.0
FB0012,22,Male,Full-time Employee,Tier 2,120000.0,4.0,4.0,3.0,5.0,5.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,51695.0,14690.0,27140.0,11365.0,77750.0,0.226,0.648,4.2,3.0,1.75,3.0,3.5
FB0013,21,Male,Student,Tier 3,120000.0,4.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,,4.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,2.0,5.0,4.0,3.0,3.0,35959.0,29433.0,26741.0,13146.0,78538.0,0.223,0.654,3.8,4.0,4.5,3.4,3.75
FB0014,31,Female,Student,Tier 1,120000.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,56136.0,21679.0,24763.0,14503.0,92318.0,0.206,0.769,3.0,3.8,3.75,3.0,1.75
FB0015,18,Female,Intern,Tier 1,120000.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,2.0,43716.0,17317.0,21636.0,8057.0,69090.0,0.18,0.576,2.6,3.4,1.75,3.0,2.25
FB0016,23,Female,Full-time Employee,Tier 3,120000.0,3.0,1.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,38170.0,20005.0,2853.0,5292.0,63467.0,0.024,0.529,2.6,4.2,2.75,1.6,2.5
FB0017,25,Male,Unemployed,Tier 2,95966.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,2.0,,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,45696.0,17077.0,21698.0,3974.0,66747.0,0.226,0.696,2.4,3.6,2.0,4.0,2.25
FB0018,22,Female,Full-time Employee,Tier 2,120000.0,3.0,2.0,2.0,2.0,,4.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,42000.0,20138.0,19513.0,6607.0,68745.0,0.163,0.573,2.25,3.6,1.25,3.0,3.5
FB0019,27,Male,Unemployed,Tier 1,101818.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,4.0,,4.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,50894.0,17412.0,11099.0,9191.0,77497.0,0.109,0.761,2.2,2.6,4.0,3.4,2.0
FB0020,32,Female,Full-time Employee,Tier 3,120000.0,4.0,3.0,5.0,5.0,5.0,3.0,,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,37154.0,20338.0,25363.0,6116.0,63608.0,0.211,0.53,4.4,3.25,3.0,3.0,4.25
FB0021,18,Other,Student,Tier 3,120000.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,40790.0,12315.0,28315.0,1939.0,55044.0,0.236,0.459,4.6,3.4,1.5,4.0,4.75
FB0022,19,Female,Student,Tier 1,120000.0,2.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,55026.0,18579.0,10798.0,12621.0,86226.0,0.09,0.719,2.6,4.4,2.25,3.6,2.75
FB0023,20,Male,Full-time Employee,Tier 2,120000.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,51096.0,20804.0,20150.0,2186.0,74086.0,0.168,0.617,3.0,2.8,2.75,3.6,2.5
FB0024,26,Male,Unemployed,Tier 2,120000.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,3.0,2.0,53709.0,25441.0,26824.0,7429.0,86579.0,0.224,0.721,3.2,2.8,4.25,3.8,2.5
FB0025,20,Female,Student,Tier 1,120000.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,2.0,69522.0,25109.0,21861.0,7457.0,102088.0,0.182,0.851,2.8,3.8,3.75,3.2,2.5
FB0026,34,Female,Full-time Employee,Tier 3,120000.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,34069.0,25115.0,17530.0,5603.0,64787.0,0.146,0.54,3.0,3.2,3.25,2.0,3.25
FB0027,19,Female,Intern,Tier 3,120000.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,2.0,5.0,2.0,3.0,34237.0,28610.0,17089.0,10884.0,73731.0,0.142,0.614,3.8,3.6,3.25,3.0,3.0
FB0028,18,Female,Intern,Tier 1,120000.0,4.0,4.0,3.0,4.0,4.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,64936.0,2069.0,22707.0,0.0,67005.0,0.189,0.558,3.8,2.4,1.5,1.6,2.25
FB0029,23,Female,Student,Tier 2,64050.0,2.0,2.0,3.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,2.0,32566.0,18440.0,3708.0,7769.0,58775.0,0.058,0.918,2.2,4.6,2.75,2.6,1.75
FB0030,27,Female,Intern,Tier 2,120000.0,2.0,1.0,2.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,46339.0,34497.0,6479.0,18763.0,99599.0,0.054,0.83,1.4,4.8,4.0,3.0,3.0
FB0031,31,Male,Freelancer,Tier 3,120000.0,5.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,41280.0,18976.0,16449.0,8820.0,69076.0,0.137,0.576,3.2,3.6,3.25,2.8,3.25
FB0032,27,Male,Full-time Employee,Tier 1,120000.0,2.0,3.0,3.0,2.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36525.0,17001.0,0.0,4197.0,57723.0,0.0,0.481,2.4,4.0,2.25,1.0,1.0
FB0033,24,Male,Freelancer,Tier 1,120000.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,76041.0,14257.0,21356.0,28.0,90326.0,0.178,0.753,3.4,2.2,2.25,2.8,2.5
FB0034,23,Male,Full-time Employee,Tier 2,120000.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,44002.0,28430.0,27504.0,12342.0,84774.0,0.229,0.706,4.2,4.4,3.5,3.0,2.75
FB0035,21,Male,Student,Tier 2,100980.0,2.0,,2.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,63122.0,11466.0,10198.0,0.0,74588.0,0.101,0.739,2.25,3.4,1.25,3.0,2.25
FB0036,24,Female,Intern,Tier 1,120000.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,52642.0,22907.0,16165.0,2346.0,77895.0,0.135,0.649,3.8,3.2,2.5,2.8,3.25
FB0037,25,Male,Intern,Tier 2,120000.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,,3.0,4.0,4.0,45189.0,16860.0,30422.0,4158.0,66207.0,0.254,0.552,3.8,2.2,3.25,3.8,3.6666666666666665
FB0038,24,Female,Full-time Employee,Tier 2,120000.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,5.0,59839.0,5617.0,36649.0,1109.0,66565.0,0.305,0.555,3.8,2.6,2.25,3.2,4.25
FB0039,20,Male,Student,Tier 1,120000.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,57482.0,18824.0,11878.0,11820.0,88126.0,0.099,0.734,2.2,3.6,3.75,2.8,2.5
FB0040,23,Female,Unemployed,Tier 1,66502.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,47159.0,11439.0,8566.0,4138.0,62736.0,0.129,0.943,2.6,3.6,2.5,1.6,2.75
FB0041,33,Male,Intern,Tier 3,120000.0,2.0,4.0,4.0,,4.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,32387.0,11360.0,26742.0,5280.0,49027.0,0.223,0.409,3.5,3.2,3.0,3.0,2.25
FB0042,21,Male,Student,Tier 1,120000.0,3.0,3.0,4.0,2.0,4.0,4.0,5.0,3.0,2.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,44462.0,20616.0,25950.0,0.0,65078.0,0.216,0.542,3.2,3.2,1.5,3.2,3.25
FB0043,18,Female,Student,Tier 2,120000.0,2.0,2.0,2.0,1.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,46751.0,40084.0,0.0,15888.0,102723.0,0.0,0.856,1.6,5.0,4.5,1.2,2.25
FB0044,20,Male,Freelancer,Tier 1,120000.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,3.0,58512.0,24002.0,26511.0,5098.0,87612.0,0.221,0.73,3.0,3.6,3.5,3.6,3.5
FB0045,20,Female,Full-time Employee,Tier 1,120000.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,,3.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,4.0,2.0,39591.0,21820.0,14970.0,12947.0,74358.0,0.125,0.62,3.6,3.6,3.0,2.4,2.5
FB0046,20,Male,Full-time Employee,Tier 1,120000.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,3.0,4.0,3.0,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,53750.0,16796.0,25744.0,10121.0,80667.0,0.215,0.672,4.0,3.6,2.0,2.8,3.5
FB0047,27,Female,Unemployed,Tier 3,48344.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,2.0,,3.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,17709.0,10490.0,10205.0,3240.0,31439.0,0.211,0.65,3.8,3.0,4.0,2.8,2.75
FB0048,28,Male,Full-time Employee,Tier 1,120000.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,4.0,41006.0,19675.0,23261.0,9734.0,70415.0,0.194,0.587,3.4,3.8,3.75,1.6,3.5
FB0049,30,Female,Student,Tier 1,108834.0,5.0,4.0,4.0,4.0,3.0,2.0,,1.0,3.0,3.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,38031.0,14158.0,43006.0,6375.0,58564.0,0.395,0.538,4.0,2.25,3.5,4.4,4.25
FB0050,18,Female,Intern,Tier 2,120000.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,63807.0,32036.0,9468.0,8979.0,104822.0,0.079,0.874,3.0,3.2,4.25,1.6,3.0
FB0051,19,Male,Student,Tier 2,56440.0,3.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,21122.0,18609.0,2086.0,8060.0,47791.0,0.037,0.847,3.0,4.0,4.75,1.6,1.75
FB0052,34,Female,Full-time Employee,Tier 1,120000.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,4.0,3.0,4.0,5.0,43418.0,11224.0,35095.0,3346.0,57988.0,0.292,0.483,4.4,2.2,1.5,2.4,4.0
FB0053,18,Female,Full-time Employee,Tier 2,120000.0,4.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,38077.0,20202.0,33755.0,4806.0,63085.0,0.281,0.526,4.8,3.6,2.25,3.8,4.0
FB0054,23,Female,Full-time Employee,Tier 1,120000.0,4.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,3.0,4.0,3.0,60193.0,14594.0,26160.0,4364.0,79151.0,0.218,0.66,3.4,3.4,2.75,3.0,3.5
FB0055,18,Female,Full-time Employee,Tier 2,120000.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,31913.0,8958.0,8580.0,2781.0,43652.0,0.072,0.364,2.8,3.8,1.0,1.2,2.25
FB0056,26,Female,Full-time Employee,Tier 1,120000.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,49935.0,28828.0,14895.0,17260.0,96023.0,0.124,0.8,3.2,4.6,3.0,3.8,2.5
FB0057,35,Male,Unemployed,Tier 2,59907.0,4.0,3.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,20371.0,900.0,19293.0,0.0,21271.0,0.322,0.355,3.6,2.4,1.5,4.4,4.5
FB0058,23,Male,Student,Tier 1,109636.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,52097.0,15872.0,32364.0,4354.0,72323.0,0.295,0.66,3.8,2.0,3.75,3.0,3.5
FB0059,22,Male,Freelancer,Tier 1,120000.0,3.0,4.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,52444.0,7665.0,35622.0,52.0,60161.0,0.297,0.501,3.2,1.8,3.5,4.2,3.5
FB0060,26,Male,Student,Tier 1,120000.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,3.0,2.0,67884.0,27718.0,282.0,17470.0,113072.0,0.002,0.942,2.4,3.8,3.5,1.2,2.75
FB0061,27,Female,Full-time Employee,Tier 3,120000.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,36995.0,7897.0,10863.0,4097.0,48989.0,0.091,0.408,1.6,2.2,1.75,2.6,2.75
FB0062,25,Female,Freelancer,Tier 2,120000.0,5.0,4.0,5.0,4.0,5.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,3.0,4.0,5.0,3.0,3.0,4.0,3.0,30593.0,9073.0,40761.0,0.0,39666.0,0.34,0.331,4.6,1.8,2.0,3.8,3.25
FB0063,25,Other,Student,Tier 3,109310.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,41741.0,18376.0,8601.0,3464.0,63581.0,0.079,0.582,2.4,2.6,3.5,2.2,3.5
FB0064,19,Male,Intern,Tier 3,120000.0,2.0,1.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,44758.0,20938.0,4460.0,11313.0,77009.0,0.037,0.642,1.6,3.4,2.75,3.0,3.0
FB0065,35,Female,Full-time Employee,Tier 2,120000.0,5.0,5.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,46510.0,6752.0,26772.0,0.0,53262.0,0.223,0.444,4.6,2.2,1.75,2.6,4.0
FB0066,26,Male,Student,Tier 1,120000.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,46472.0,40195.0,28902.0,7629.0,94296.0,0.241,0.786,2.8,3.6,3.25,3.6,5.0
FB0067,20,Male,Student,Tier 2,99205.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,3.0,4.0,40836.0,22976.0,20192.0,17752.0,81564.0,0.204,0.822,3.8,4.75,2.75,3.0,3.6666666666666665
FB0068,32,Female,Full-time Employee,Tier 2,120000.0,5.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,,3.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,3.0,3.0,4.0,4.0,50517.0,24555.0,39875.0,8662.0,83734.0,0.332,0.698,4.0,2.6,3.6666666666666665,4.6,3.5
FB0069,19,Male,Student,Tier 2,109042.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,44545.0,14240.0,5556.0,2472.0,61257.0,0.051,0.562,1.4,1.8,2.5,2.0,1.25
FB0070,22,Male,Intern,Tier 1,120000.0,2.0,2.0,2.0,3.0,2.0,4.0,5.0,5.0,4.0,5.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,39458.0,26374.0,0.0,14592.0,80424.0,0.0,0.67,2.2,4.6,2.25,1.2,1.75
FB0071,24,Female,Student,Tier 2,120000.0,4.0,2.0,3.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,39368.0,30945.0,16894.0,9575.0,79888.0,0.141,0.666,3.0,4.0,3.5,3.0,2.75
FB0072,22,Male,Intern,Tier 1,102116.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,49524.0,16315.0,3285.0,10673.0,76512.0,0.032,0.749,1.8,3.2,2.75,1.4,2.5
FB0073,24,Female,Full-time Employee,Tier 1,120000.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,63191.0,25937.0,14547.0,9163.0,98291.0,0.121,0.819,3.4,3.8,3.0,2.0,2.5
FB0074,23,Female,Full-time Employee,Tier 1,120000.0,4.0,5.0,5.0,4.0,4.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,5.0,3.0,67674.0,10892.0,34871.0,5707.0,84273.0,0.291,0.702,4.4,2.8,2.75,4.6,3.5
FB0075,21,Female,Full-time Employee,Tier 1,120000.0,4.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,54170.0,34229.0,0.0,19901.0,108300.0,0.0,0.902,3.6,4.8,4.5,2.8,3.25
FB0076,27,Male,Intern,Tier 1,120000.0,2.0,3.0,3.0,3.0,,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,3.0,39571.0,23613.0,14511.0,13070.0,76254.0,0.121,0.635,2.75,4.2,3.5,3.0,3.25
FB0077,19,Female,Intern,Tier 1,86469.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,46926.0,10457.0,12255.0,862.0,58245.0,0.142,0.674,1.6,2.4,1.75,2.6,1.5
FB0078,19,Female,Intern,Tier 2,107535.0,2.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,31828.0,22823.0,8746.0,7437.0,62088.0,0.081,0.577,2.2,4.6,3.5,2.0,1.0
FB0079,29,Female,Student,Tier 2,120000.0,2.0,4.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,42833.0,8628.0,36580.0,0.0,51461.0,0.305,0.429,3.4,1.2,3.0,4.8,4.0
